regiao,munic,cisp,roubo_transeunte,flag
Baixada Fluminense,Belford Roxo,54,29381,Maiores
Baixada Fluminense,Duque de Caxias,59,61939,Maiores
Baixada Fluminense,Duque de Caxias,60,18140,Maiores
Baixada Fluminense,Mesquita,53,19034,Maiores
Baixada Fluminense,Nilópolis,57,22924,Maiores
Baixada Fluminense,Nova Iguaçu,52,29086,Maiores
Baixada Fluminense,Nova Iguaçu,56,19735,Maiores
Baixada Fluminense,Nova Iguaçu,58,23939,Maiores
Baixada Fluminense,São João de Meriti,64,45156,Maiores
Capital,Rio de Janeiro,1,16439,Maiores
Capital,Rio de Janeiro,4,18813,Maiores
Capital,Rio de Janeiro,5,31820,Maiores
Capital,Rio de Janeiro,9,17878,Maiores
Capital,Rio de Janeiro,16,18103,Maiores
Capital,Rio de Janeiro,17,16600,Maiores
Capital,Rio de Janeiro,18,18238,Maiores
Capital,Rio de Janeiro,20,16975,Maiores
Capital,Rio de Janeiro,21,26650,Maiores
Capital,Rio de Janeiro,22,22394,Maiores
Capital,Rio de Janeiro,23,22153,Maiores
Capital,Rio de Janeiro,24,17704,Maiores
Capital,Rio de Janeiro,27,29946,Maiores
Capital,Rio de Janeiro,28,17182,Maiores
Capital,Rio de Janeiro,29,33479,Maiores
Capital,Rio de Janeiro,30,18378,Maiores
Capital,Rio de Janeiro,31,18214,Maiores
Capital,Rio de Janeiro,32,20275,Maiores
Capital,Rio de Janeiro,33,23370,Maiores
Capital,Rio de Janeiro,34,43779,Maiores
Capital,Rio de Janeiro,35,28544,Maiores
Capital,Rio de Janeiro,38,18949,Maiores
Capital,Rio de Janeiro,39,25836,Maiores
Capital,Rio de Janeiro,40,23066,Maiores
Grande Niterói,Niterói,76,17186,Maiores
Grande Niterói,São Gonçalo,72,28197,Maiores
Grande Niterói,São Gonçalo,73,24712,Maiores
Grande Niterói,São Gonçalo,74,36637,Maiores
Baixada Fluminense,Queimados;Japeri,55,82,Menores
Capital,Rio de Janeiro,11,134,Menores
Capital,Rio de Janeiro,45,146,Menores
Interior,Bom Jardim,158,60,Menores
Interior,Bom Jesus de Itabapoana,144,77,Menores
Interior,Cambuci,142,14,Menores
Interior,Campos dos Goytacazes;São Francisco de Itabapoana,146,58,Menores
Interior,Cantagalo,153,50,Menores
Interior,Cardoso Moreira;Italva,148,22,Menores
Interior,Carmo,112,13,Menores
Interior,Conceição de Macabú,122,91,Menores
Interior,Cordeiro;Macuco,154,71,Menores
Interior,Duas Barras,152,15,Menores
Interior,Engenheiro Paulo de Frontin,98,20,Menores
Interior,Itaocara,135,33,Menores
Interior,Itaperuna;São José de Ubá;Cardoso Moreira;Italva,143,112,Menores
Interior,Laje do Muriaé,138,17,Menores
Interior,Mendes,97,61,Menores
Interior,Miguel Pereira;Paty dos Alferes,96,97,Menores
Interior,Miracema,137,69,Menores
Interior,Natividade;Varre-Sai,140,13,Menores
Interior,Paraíba do Sul,107,129,Menores
Interior,Piraí,94,77,Menores
Interior,Piraí;Pinheiral,94,6,Menores
Interior,Porciúncula,139,14,Menores
Interior,Rio Claro,168,29,Menores
Interior,Rio das Flores,92,6,Menores
Interior,Santa Maria Madalena,156,7,Menores
Interior,Santo Antônio de Pádua;Aperibé,136,139,Menores
Interior,Sapucaia,109,16,Menores
Interior,Silva Jardim,120,103,Menores
Interior,Sumidouro,111,3,Menores
Interior,São Fidélis,141,106,Menores
Interior,São José do Vale do Rio Preto,104,20,Menores
Interior,São Sebastião do Alto,155,4,Menores
Interior,Trajano de Morais,157,14,Menores
Interior,Vassouras,95,103,Menores
